stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
대평리시장,서구,897347,66239,963586,3,299115.6666666667,2407,1849,23.83168316831683,18.306930693069308,8시,831108,0.8625156446855807,생활형,35.87908167,128.558415
명문세가APT앞,북구,879911,157485,1037396,3,293303.6666666667,2342,2074,23.537688442211056,20.844221105527637,16시,722426,0.6963840230731563,생활형,35.89776712,128.6238178
침산네거리1,북구,879703,128817,1008520,3,293234.3333333333,1790,2707,18.79857172862844,28.42890149128334,18시,750886,0.7445424979177409,퇴근형,35.88773198,128.5933872
상중이동행정복지센터앞,서구,574192,136919,711111,2,287096.0,1890,1190,30.014292520247736,18.897887883118948,8시,437273,0.6149152523305081,출근형,35.86651767,128.5463423
민들레아파트후문앞,북구,571781,1039,572820,2,285890.5,2468,677,39.909443725743856,10.947606727037517,8시,570742,0.9963723333682483,출근형,35.91649833,128.6290717
퀸스로드앞(동편),서구,560509,143750,704259,2,280254.5,1227,1681,22.5510016541077,30.895056055872082,18시,416759,0.5917695052530391,퇴근형,35.8624262,128.5461017
정호승문학관건너(구.신천시장),수성구,275282,54342,329624,1,275282.0,743,756,21.05412298101445,21.422499291584018,16시,220940,0.6702788631895735,생활형,35.86515613,128.6182685
명곡리1,달성군,820310,58441,878751,3,273436.6666666667,1849,3055,18.314183835182252,30.259508716323296,16시,761869,0.8669907630261587,퇴근형,35.79935358,128.4903166
동구시장앞,동구,540548,118987,659535,2,270274.0,677,1733,9.766301211771495,25.0,16시,421561,0.639179118621453,퇴근형,35.87409,128.6393217
침산네거리2,북구,539220,178045,717265,2,269610.0,1554,1279,24.836183474508548,20.44110596132332,7시,361175,0.5035447149937611,생활형,35.88788342,128.5933758
갓바위,동구,802642,69383,872025,3,267547.3333333333,823,1140,9.925229136517125,13.748191027496382,14시,733259,0.8408692411341417,생활형,35.97051168,128.7260467
송현초등학교앞,달서구,530008,29411,559419,2,265004.0,1725,911,28.470044561808876,15.035484403366892,8시,500597,0.8948516228444153,출근형,35.82685167,128.544035
상인동화아이위시아파트건너,달서구,786118,55713,841831,3,262039.33333333334,2205,1508,24.714189643577672,16.90203990136741,8시,730405,0.8676385165193489,생활형,35.81031247,128.5467623
성서청구타운건너,달서구,739189,75793,814982,3,246396.33333333334,1375,652,32.45986779981114,15.3918791312559,8시,663396,0.8140008000176691,출근형,35.85575333,128.52108
상인비둘기1단지아파트앞,달서구,736834,34658,771492,3,245611.33333333334,1953,1032,24.85997963340122,13.136456211812627,16시,702176,0.910153313320164,생활형,35.80937203,128.5512531
검단동행정복지센터건너,북구,486509,3849,490358,2,243254.5,236,204,23.297137216189537,20.138203356367228,15시,482660,0.984301265605945,생활형,35.91275423,128.6280035
대청초등학교앞,수성구,727295,54822,782117,3,242431.66666666666,1742,1976,19.323349972268442,21.91902384914032,16시,672473,0.8598112558606961,생활형,35.85061,128.65222
평광3차아파트,달성군,464048,17396,481444,2,232024.0,1860,820,35.67318757192175,15.726889144610665,7시,446652,0.9277340666827295,출근형,35.72696,128.4474633
삼덕교회,중구,461917,419074,880991,2,230958.5,457,1751,8.60316265060241,32.96310240963856,17시,42843,0.04863046274025501,퇴근형,35.86615017,128.6000157
조야동(종점),북구,457277,26318,483595,2,228638.5,1709,702,34.97032944546757,14.3646408839779,7시,430959,0.8911568564604679,출근형,35.91079547,128.576711
대구과학기술고등학교건너,달서구,684603,459476,1144079,3,228201.0,1146,2159,14.225422045680238,26.79990069513406,16시,225127,0.19677574712935034,퇴근형,35.85567937,128.5476232
대곡역그린빌,달성군,451750,364853,816603,2,225875.0,1713,841,31.350658857979504,15.391654465592971,8시,86897,0.10641278564982004,출근형,35.80450833,128.510825
영진전문대학교정문건너,북구,674689,179403,854092,3,224896.33333333334,1393,1769,19.528949950932287,24.800224309547175,16시,495286,0.5798977159369249,생활형,35.89410628,128.6238017
중리광명맨션건너,서구,668687,87992,756679,3,222895.66666666666,2291,1237,31.127717391304348,16.807065217391305,8시,580695,0.7674258172884407,출근형,35.86167373,128.5475537
국가산단서한이다음,달성군,435118,2131,437249,2,217559.0,1976,859,33.33333333333333,14.490553306342779,7시,432987,0.9902526935453254,출근형,35.66329667,128.421095
공항시장건너,동구,651492,60151,711643,3,217164.0,2106,1167,28.552060737527114,15.821583514099782,8시,591341,0.8309517553042748,출근형,35.89686428,128.6378206
이천새마을금고건너,남구,644001,43225,687226,3,214667.0,1390,1072,23.25581395348837,17.935419106575203,12시,600776,0.8742044101940264,생활형,35.84689667,128.6042633
삼덕성당앞,중구,641006,110335,751341,3,213668.66666666666,463,2494,6.449366206992617,34.74021451455634,18시,530671,0.7062984716659946,퇴근형,35.86751068,128.5997461
죽전역(1번출구),달서구,424984,87921,512905,2,212492.0,1211,2341,15.896560777106853,30.729850354423732,18시,337063,0.6571645821350932,퇴근형,35.85122102,128.5370754
