stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
희성전자앞,달서구,6682,5125,11807,1,6682.0,8,36,17.02127659574468,76.59574468085107,20시,1557,0.13187092402811892,퇴근형,35.84526,128.47816
무등2리입구건너,달성군,6670,15,6685,1,6670.0,5,9,17.24137931034483,31.03448275862069,11시,6655,0.9955123410620793,퇴근형,35.91441752,128.4513601
어린이세상건너2,수성구,6663,27411,34074,1,6663.0,6,2,46.15384615384615,15.384615384615385,7시,-20748,0.6089100193696073,출근형,35.84621172,128.6234452
달서종합시장앞,,6637,3261,9898,,,,,,,,3376,0.34107900585976964,생활형,,
남산2동행정복지센터건너,중구,6628,4247,10875,1,6628.0,4,18,8.0,36.0,13시,2381,0.2189425287356322,퇴근형,35.86488723,128.588528
은호2리(하양방향),,6623,6190,12813,,,2,2,28.57142857142857,28.57142857142857,9시,433,0.033793803168656836,출퇴근형,,
도남지,북구,6564,19,6583,1,6564.0,20,2,68.96551724137932,6.896551724137931,8시,6545,0.9942275558256114,출근형,35.9648388,128.5864425
우록리(부곡장식당)건너,달성군,6562,85,6647,1,6562.0,4,0,16.0,0.0,6시,6477,0.9744245524296675,생활형,35.726495,128.65601
도남힐스테이트2단지앞,북구,6561,5200,11761,2,3280.5,45,26,28.846153846153843,16.666666666666664,7시,1361,0.1157214522574611,출근형,35.95150333,128.579705
안심교(경산방향),수성구,6520,3927,10447,5,1304.0,9,24,12.32876712328767,32.87671232876712,15시,2593,0.24820522638077916,퇴근형,35.85983667,128.7167217
경북식당(앞),,6499,55,6554,,,13,0,72.22222222222221,0.0,9시,6444,0.9832163564235581,출근형,,
펜타힐즈서한이다음 건너,,6488,2934,9422,,,96,29,45.07042253521127,13.615023474178404,7시,3554,0.37720229250689874,출근형,,
화계1리,군위군,6478,471,6949,3,2159.3333333333335,41,6,39.42307692307692,5.769230769230769,8시,6007,0.8644409267520506,출근형,36.11714499666667,128.6342172
중동치안센터건너,,6418,2383,8801,,,,,,,,4035,0.4584706283376889,생활형,,
앞산자락카페마실건너,남구,6399,16040,22439,2,3199.5,12,12,24.0,24.0,7시,-9641,0.42965372788448686,생활형,35.83166805,128.5669434
성동탱자나무마을앞,수성구,6398,10576,16974,1,6398.0,3,5,11.538461538461538,19.230769230769234,11시,-4178,0.24614115706374454,생활형,35.843045,128.7213267
수성월드메르디앙앞,수성구,6318,13628,19946,1,6318.0,14,4,66.66666666666666,19.047619047619047,7시,-7310,0.36648952170861326,출근형,35.83502333,128.6980817
대구대학교대명동캠퍼스,,6315,1854,8169,,,870,881,22.114895780376205,22.394509405185563,17시,4461,0.5460888725670217,생활형,,
만촌자이르네앞,수성구,6287,521,6808,1,6287.0,16,49,11.940298507462686,36.56716417910448,18시,5766,0.8469447708578144,퇴근형,35.84842,128.6517767
유산리,달성군,6281,261,6542,1,6281.0,25,1,52.083333333333336,2.083333333333333,9시,6020,0.9202078874961785,출근형,35.623665,128.4294083
