년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,합계
2024-03-31,대곡파출소1,7041061900,하차,0,1,3,3,4,2,1,1,1,1,1,1,2,1,1,0,1,0,0,25
2024-03-31,대곡파출소2,7041062200,승차,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,6
2024-03-31,대곡파출소2,7041062200,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
2024-03-31,대구IM뱅크PARK남편건너,7021013900,승차,0,1,6,5,4,3,4,4,4,4,3,6,5,7,5,2,2,2,0,65
2024-03-31,대구IM뱅크PARK남편건너,7021013900,하차,0,0,1,0,0,1,1,2,2,1,1,2,1,2,1,0,1,0,0,16
2024-03-31,대구IM뱅크PARK남편앞,7021014000,승차,0,1,4,3,2,3,3,3,2,2,4,10,6,5,4,2,1,2,0,58
2024-03-31,대구IM뱅크PARK남편앞,7021014000,하차,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,0,22
2024-03-31,대구IM뱅크PARK동편건너,7021012800,승차,1,4,6,10,5,5,6,8,8,7,10,17,14,14,10,6,12,6,3,152
2024-03-31,대구IM뱅크PARK동편건너,7021012800,하차,0,2,2,7,5,7,8,10,11,11,13,15,17,17,11,6,8,6,3,160
2024-03-31,대구IM뱅크PARK동편앞,7021012900,승차,0,2,6,10,8,9,7,11,11,9,11,20,17,24,13,6,6,4,1,176
2024-03-31,대구IM뱅크PARK동편앞,7021012900,하차,0,2,1,1,1,1,1,2,2,1,2,1,3,2,1,1,1,1,0,24
2024-03-31,대구가톨릭대학병원건너,7051005800,승차,3,11,35,28,29,31,30,29,22,31,61,39,61,36,19,10,13,24,1,515
2024-03-31,대구가톨릭대학병원건너,7051005800,하차,2,3,5,10,8,7,7,8,9,10,9,9,6,8,6,4,4,3,1,117
2024-03-31,대구가톨릭대학병원앞,7051005900,승차,2,12,25,30,33,33,32,35,28,39,60,50,63,35,19,14,14,20,2,547
2024-03-31,대구가톨릭대학병원앞,7051005900,하차,0,3,3,10,5,4,5,5,8,5,6,6,7,9,6,4,4,2,0,92
2024-03-31,대구경북지방병무청,7011051600,승차,0,0,1,2,2,4,4,1,3,5,8,10,4,11,2,2,2,0,0,60
2024-03-31,대구경북지방병무청,7011051600,하차,0,0,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,0,0,22
2024-03-31,대구경북지방중소벤처기업청건너,7041063502,승차,0,1,0,1,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,9
2024-03-31,대구경북지방중소벤처기업청앞,7041063503,승차,0,6,2,5,2,1,0,1,1,1,1,1,7,5,2,4,1,1,0,38
2024-03-31,대구경찰청,7061021900,승차,0,2,2,4,4,2,4,4,3,3,6,11,5,14,3,2,2,2,0,76
2024-03-31,대구경찰청,7061021900,하차,0,0,2,2,1,1,1,1,1,2,1,3,2,2,1,1,1,0,0,24
2024-03-31,대구경찰청건너,7061059200,승차,0,0,0,0,1,0,1,1,2,1,1,3,2,3,1,1,1,0,0,19
2024-03-31,대구경찰청건너,7061059200,하차,0,1,0,2,3,2,3,2,3,3,4,4,7,4,4,2,3,3,1,51
