년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2025-04-30,동명초등학교건너,3690002360,하차,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2025-04-30,학명동,3690003060,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,학명동,3690003060,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,학명리,3690003070,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,학명리(삭막마을입구),3690003080,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,학명리(등골마을입구),3690003090,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,진목정입구,3690003220,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,진목정입구,3690003220,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,천평,3690003230,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,가산면행정복지센터,3690003240,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,가산면행정복지센터,3690003240,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,금화리,3690003250,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,금화리,3690003250,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,석우1리 건너,3690003480,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,석우1리 건너,3690003480,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,동명면우체국,3690003750,승차,0,1,0,0,1,0,2,0,2,0,2,0,1,0,0,0,0,0,0
2025-04-30,동명면우체국,3690003750,하차,0,3,4,7,3,7,2,5,6,5,3,6,3,3,2,2,1,0,0
2025-04-30,동명교통,3690005830,승차,0,1,3,2,2,3,1,1,1,2,3,4,4,3,1,1,0,0,0
2025-04-30,동명교통,3690005830,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,금암4리(대구시립묘지),3690005980,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,가산평생학습복지센터건너,3690007400,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,가산평생학습복지센터건너,3690007400,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,대명시장앞,7001000100,승차,15,25,49,71,61,54,52,61,66,54,57,69,63,67,26,21,17,10,1
2025-04-30,대명시장앞,7001000100,하차,0,4,6,17,14,10,9,12,12,12,11,14,13,11,7,5,4,4,0
2025-04-30,대명시장건너,7001000200,승차,8,19,33,36,38,34,38,41,46,42,41,50,48,44,25,16,15,9,2
2025-04-30,대명시장건너,7001000200,하차,0,2,7,16,9,7,8,9,9,11,12,14,14,17,8,7,7,5,2
2025-04-30,계명대학교대명캠퍼스앞,7001000300,승차,1,5,13,28,26,21,22,30,28,30,24,36,51,43,17,12,9,9,1
2025-04-30,계명대학교대명캠퍼스앞,7001000300,하차,2,8,17,25,20,13,12,14,14,12,14,23,26,20,9,6,6,5,1
2025-04-30,계명대학교대명캠퍼스건너,7001000400,승차,2,7,14,19,18,17,17,24,28,25,26,32,44,51,23,17,17,12,2
2025-04-30,계명대학교대명캠퍼스건너,7001000400,하차,0,2,8,14,10,8,8,11,13,13,14,18,15,17,10,8,7,4,1
2025-04-30,중부소방서건너,7001000500,승차,1,2,4,3,3,2,2,2,2,2,3,2,3,3,2,4,2,2,0
2025-04-30,중부소방서건너,7001000500,하차,1,0,1,1,1,2,3,2,3,3,3,4,4,4,3,2,1,1,1
2025-04-30,중부소방서앞,7001000600,승차,1,5,16,25,21,13,13,16,14,12,10,9,11,13,8,6,4,6,1
2025-04-30,중부소방서앞,7001000600,하차,0,1,2,4,3,4,4,4,4,4,4,4,3,4,2,2,2,1,0
2025-04-30,대신센트럴자이,7001000700,승차,3,4,9,14,13,6,6,7,10,8,6,7,8,10,6,5,5,3,0
2025-04-30,대신센트럴자이,7001000700,하차,0,0,0,1,0,1,1,1,1,1,2,2,2,3,2,1,1,1,0
2025-04-30,청라언덕(신남)역(1번출구),7001000800,승차,0,1,9,13,8,7,7,8,9,10,12,12,13,15,6,5,4,4,1
2025-04-30,청라언덕(신남)역(1번출구),7001000800,하차,0,1,2,3,2,3,3,4,5,5,6,7,8,9,5,4,2,3,1
2025-04-30,엘디스리젠트호텔건너,7001000900,승차,0,1,3,4,3,3,3,6,4,5,6,10,6,6,3,2,3,2,1
2025-04-30,엘디스리젠트호텔건너,7001000900,하차,1,4,2,6,10,9,13,10,11,12,9,8,9,6,4,1,1,1,0
2025-04-30,엘디스리젠트호텔앞,7001001000,승차,1,2,4,6,5,6,8,10,9,9,14,19,15,12,8,4,6,4,1
2025-04-30,엘디스리젠트호텔앞,7001001000,하차,1,2,5,5,7,10,10,13,12,12,14,12,10,7,5,4,3,3,1
2025-04-30,현대백화점.동아쇼핑건너,7001001100,승차,0,1,3,5,6,10,17,24,32,38,45,47,43,38,33,27,19,7,1
2025-04-30,현대백화점.동아쇼핑건너,7001001100,하차,2,2,5,9,11,12,16,15,15,16,14,14,14,14,6,4,3,2,0
2025-04-30,봉산문화거리앞,7001001300,승차,0,3,7,6,10,15,24,28,33,35,45,44,44,42,28,28,27,25,11
2025-04-30,봉산문화거리앞,7001001300,하차,1,3,4,13,9,7,7,7,8,8,10,13,11,11,6,3,3,2,1
2025-04-30,2호선반월당역1,7001001400,승차,1,4,5,10,7,10,13,19,25,29,40,46,58,67,60,58,68,51,5
2025-04-30,2호선반월당역1,7001001400,하차,0,1,5,9,10,9,11,14,13,12,12,14,14,15,8,5,4,4,1
2025-04-30,봉산문화거리건너,7001001500,승차,3,4,7,11,13,17,22,29,31,35,51,49,53,64,45,48,46,42,6
2025-04-30,봉산문화거리건너,7001001500,하차,1,5,12,19,23,24,28,31,29,27,32,28,34,33,15,10,10,10,2
2025-04-30,반월당역(2번출구),7001001600,승차,11,32,65,148,100,95,130,136,141,145,186,198,194,247,170,146,158,134,21
2025-04-30,반월당역(2번출구),7001001600,하차,3,15,33,60,64,66,76,84,83,75,82,85,86,89,46,32,24,21,3
2025-04-30,반월당역(1번출구)1,7001001700,승차,3,12,42,64,47,42,103,62,69,77,92,100,107,106,71,67,54,43,9
2025-04-30,반월당역(1번출구)1,7001001700,하차,1,6,17,30,22,19,18,21,20,23,28,27,29,28,15,11,11,11,3
2025-04-30,남문시장건너2,7001001800,승차,2,7,17,31,28,21,25,26,25,21,25,31,30,29,13,9,14,10,1
2025-04-30,남문시장건너2,7001001800,하차,5,17,29,36,40,34,37,38,36,34,36,33,35,36,19,14,11,7,1
2025-04-30,남문시장앞,7001001900,승차,4,10,30,47,38,38,42,45,50,49,58,70,62,63,38,24,27,22,3
2025-04-30,남문시장앞,7001001900,하차,0,5,14,21,19,16,15,19,20,20,22,30,30,38,17,14,16,12,3
2025-04-30,명덕역(6번출구),7001002000,승차,8,15,46,87,62,37,41,53,51,51,49,102,74,79,42,34,40,48,6
2025-04-30,명덕역(6번출구),7001002000,하차,2,8,23,30,28,20,19,21,24,21,21,29,28,27,13,9,9,8,1
2025-04-30,명덕역(7번출구),7001002100,승차,4,14,40,62,32,29,29,34,40,39,44,62,59,71,39,34,44,51,8
2025-04-30,명덕역(7번출구),7001002100,하차,1,5,6,11,9,11,10,13,14,14,17,21,20,23,14,11,11,9,3
2025-04-30,명덕네거리1,7001002200,승차,2,5,12,32,14,16,16,16,18,14,21,38,28,28,15,12,15,13,2
2025-04-30,명덕네거리1,7001002200,하차,0,2,2,6,5,4,4,4,5,4,5,8,8,6,5,3,2,2,1
2025-04-30,명덕네거리2,7001002300,승차,0,2,4,9,5,5,6,6,7,6,7,12,9,11,5,4,4,5,1
2025-04-30,명덕네거리2,7001002300,하차,1,8,18,21,17,12,12,15,17,14,13,18,20,23,11,10,11,6,1
2025-04-30,상수도사업본부건너,7001002400,승차,1,5,16,18,10,12,12,16,13,13,15,16,14,20,6,5,5,4,1
2025-04-30,상수도사업본부건너,7001002400,하차,1,3,9,17,12,8,7,9,9,8,8,11,14,15,6,5,6,4,0
2025-04-30,상수도사업본부,7001002500,승차,0,6,18,21,15,10,11,14,14,12,13,15,13,15,8,6,4,3,1
2025-04-30,상수도사업본부,7001002500,하차,0,1,5,8,5,4,4,5,6,5,6,8,7,7,5,4,3,2,0
2025-04-30,명덕초등학교앞,7001002600,승차,2,9,24,39,25,24,23,40,38,35,44,59,51,54,40,34,32,27,6
2025-04-30,명덕초등학교앞,7001002600,하차,2,2,6,11,8,8,10,11,11,11,13,16,17,20,12,12,11,10,2
2025-04-30,명덕초등학교건너,7001002700,승차,2,8,17,37,32,21,21,33,28,29,36,43,36,35,24,21,16,13,2
2025-04-30,명덕초등학교건너,7001002700,하차,6,9,25,35,25,19,17,21,21,18,20,25,27,23,12,9,9,5,1
2025-04-30,남산역,7001002800,승차,5,12,38,43,23,19,18,24,28,21,29,36,30,33,20,16,19,13,4
2025-04-30,남산역,7001002800,하차,1,3,3,10,7,5,6,7,8,6,9,12,11,14,8,6,6,6,2
2025-04-30,남산역건너,7001002900,승차,5,10,29,64,39,29,31,39,39,35,41,50,57,51,28,23,25,19,4
2025-04-30,남산역건너,7001002900,하차,2,6,16,29,19,16,12,18,16,14,19,28,27,19,10,8,7,5,1
2025-04-30,경북공고앞,7001003000,승차,2,7,18,22,20,14,16,20,17,20,21,28,20,18,12,10,10,6,1
2025-04-30,경북공고앞,7001003000,하차,0,4,13,18,12,11,8,9,11,10,11,14,15,12,7,6,3,3,0
2025-04-30,경북공고건너,7001003100,승차,2,5,9,17,14,11,10,11,14,10,16,22,12,12,10,8,9,4,1
2025-04-30,경북공고건너,7001003100,하차,1,3,5,11,7,5,6,8,8,8,10,10,12,11,10,5,7,5,1
2025-04-30,남산초등학교앞,7001003200,승차,2,9,27,29,27,19,19,27,23,19,24,22,24,27,18,12,12,8,1
2025-04-30,남산초등학교앞,7001003200,하차,2,4,8,13,16,17,20,22,22,19,19,19,17,11,7,5,3,2,0
2025-04-30,남산초등학교건너,7001003300,승차,2,6,28,47,31,25,21,22,26,21,24,28,31,41,28,20,23,13,3
2025-04-30,남산초등학교건너,7001003300,하차,0,1,4,6,2,3,4,4,4,4,5,6,7,8,4,4,4,3,1
2025-04-30,남산2동행정복지센터건너,7001003400,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-04-30,남산2동행정복지센터건너,7001003400,하차,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-04-30,남문아파트앞,7001003500,승차,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-30,남문아파트앞,7001003500,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,대구향교앞,7001003600,승차,1,0,2,1,2,2,3,4,4,2,3,5,5,4,2,2,2,2,1
2025-04-30,대구향교앞,7001003600,하차,0,0,1,3,2,1,1,2,2,2,3,3,3,3,2,2,2,2,0
2025-04-30,대구향교건너,7001003700,승차,1,1,3,4,3,4,5,6,5,6,11,8,5,5,2,2,1,0,0
2025-04-30,대구향교건너,7001003700,하차,2,7,13,11,12,9,8,10,7,7,6,7,9,12,5,4,4,3,0
2025-04-30,약령시건너(동성로입구),7001003800,승차,7,30,70,166,121,130,174,254,294,306,366,402,449,463,364,376,359,295,48
2025-04-30,약령시건너(동성로입구),7001003800,하차,4,14,27,41,46,47,56,69,73,66,67,68,69,61,37,22,18,13,3
2025-04-30,약령시앞,7001004100,승차,6,16,39,52,44,57,74,89,117,130,175,208,247,254,184,204,231,198,37
2025-04-30,약령시앞,7001004100,하차,4,26,69,101,100,74,75,80,83,70,89,102,118,129,55,34,36,38,10
2025-04-30,경상감영공원건너,7001004300,승차,6,21,68,118,104,85,81,110,136,161,218,266,294,228,157,144,136,108,31
2025-04-30,경상감영공원건너,7001004300,하차,2,12,15,22,27,26,30,38,40,32,39,44,40,35,24,17,16,11,3
2025-04-30,경상감영공원앞,7001004600,승차,6,23,79,95,81,98,126,163,178,233,288,328,348,320,224,195,155,106,17
2025-04-30,경상감영공원앞,7001004600,하차,7,38,94,126,122,114,139,158,148,143,152,168,174,198,104,67,63,57,14
2025-04-30,대구행복기숙사앞,7001004700,승차,0,3,8,14,10,8,6,7,7,5,7,5,9,10,5,3,4,3,1
2025-04-30,대구행복기숙사앞,7001004700,하차,0,1,3,3,3,3,4,6,5,5,7,6,6,6,4,4,4,3,1
2025-04-30,대구역센트럴자이,7001004800,승차,1,7,22,27,16,15,16,13,13,10,13,12,16,17,10,5,4,3,0
2025-04-30,대구역센트럴자이,7001004800,하차,0,1,1,3,2,2,1,1,2,1,2,2,2,3,2,1,1,2,0
2025-04-30,북성공구골목,7001004900,승차,0,1,3,5,3,2,3,3,3,5,4,4,6,9,2,2,2,1,0
2025-04-30,북성공구골목,7001004900,하차,3,4,10,8,7,6,6,5,5,5,5,5,4,5,3,2,2,2,0
2025-04-30,종로초등학교앞,7001005000,승차,0,1,2,2,2,3,3,2,4,4,4,3,4,5,3,2,4,2,1
2025-04-30,종로초등학교앞,7001005000,하차,0,1,2,3,1,1,2,3,3,3,3,4,4,4,2,1,2,2,1
2025-04-30,수창초등학교,7001005100,승차,0,12,26,38,24,16,15,19,17,20,17,20,26,32,16,11,8,6,0
2025-04-30,수창초등학교,7001005100,하차,0,1,2,5,4,4,4,5,5,5,4,7,8,8,4,3,3,2,0
2025-04-30,달성공원역3번출구,7001005200,승차,2,10,33,35,27,31,37,53,67,70,64,61,63,47,19,13,11,8,1
2025-04-30,달성공원역3번출구,7001005200,하차,1,11,21,21,18,30,31,33,36,29,26,22,18,18,9,8,6,5,2
2025-04-30,계명대학교 대구동산병원앞1,7001005300,승차,2,4,7,13,14,19,30,46,64,69,81,82,67,40,15,11,9,7,0
2025-04-30,계명대학교 대구동산병원앞1,7001005300,하차,1,3,4,8,9,13,16,17,14,13,14,12,6,5,3,3,1,1,0
2025-04-30,서문시장,7001005400,승차,5,4,11,23,22,31,40,46,62,72,84,100,81,58,19,13,12,8,1
2025-04-30,서문시장,7001005400,하차,1,3,8,13,12,14,15,14,13,12,15,12,13,12,8,7,6,5,1
2025-04-30,계명대학교 대구동산병원앞2,7001005500,승차,1,2,6,6,5,8,14,19,19,24,37,35,24,16,7,6,5,3,0
2025-04-30,계명대학교 대구동산병원앞2,7001005500,하차,1,3,8,10,11,12,15,20,20,19,20,19,12,8,5,3,4,3,0
2025-04-30,대신동광명맨션앞,7001005600,승차,0,0,3,2,1,0,0,2,1,1,1,1,1,1,0,0,0,0,0
2025-04-30,대신동광명맨션앞,7001005600,하차,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,서문시장5지구앞,7001005700,승차,0,0,1,1,1,1,1,2,2,2,2,2,3,2,1,0,0,0,0
2025-04-30,서문시장5지구앞,7001005700,하차,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2025-04-30,섬유회관앞,7001005800,승차,6,23,56,99,81,76,94,129,158,161,201,217,153,133,54,42,41,23,4
2025-04-30,섬유회관앞,7001005800,하차,3,11,31,65,50,43,45,50,47,43,39,38,46,48,22,15,12,10,3
2025-04-30,섬유회관건너1,7001005900,승차,4,12,41,53,32,38,45,59,62,69,85,94,92,78,42,34,29,23,5
2025-04-30,섬유회관건너1,7001005900,하차,3,8,16,20,22,37,44,48,44,42,48,42,38,29,18,13,11,7,2
2025-04-30,섬유회관건너2,7001006000,승차,0,1,3,7,6,9,18,26,30,37,41,37,29,25,11,9,7,4,1
2025-04-30,섬유회관건너2,7001006000,하차,0,1,4,5,6,13,19,20,17,15,15,11,9,6,4,3,2,1,0
2025-04-30,곽병원앞2,7001006100,승차,0,3,18,15,14,12,13,20,20,22,25,30,39,40,24,27,26,23,6
2025-04-30,곽병원앞2,7001006100,하차,0,4,10,11,9,12,13,13,14,13,14,12,12,9,6,4,3,3,1
2025-04-30,곽병원건너,7001006200,승차,4,9,33,47,30,42,60,68,68,68,90,90,95,110,79,76,73,65,10
2025-04-30,곽병원건너,7001006200,하차,7,18,36,61,47,50,54,61,62,54,57,52,58,60,36,27,19,17,3
2025-04-30,곽병원앞1,7001006300,승차,1,7,16,26,22,29,35,39,42,51,60,66,75,70,44,45,47,31,5
2025-04-30,곽병원앞1,7001006300,하차,1,6,18,25,21,25,33,30,33,28,30,30,25,29,12,11,9,7,1
2025-04-30,만경관건너,7001006400,승차,1,3,7,10,9,8,12,14,12,14,15,16,20,21,13,11,10,12,2
2025-04-30,만경관건너,7001006400,하차,2,4,12,17,10,9,11,12,10,11,8,10,11,14,9,5,5,2,0
2025-04-30,만경관앞,7001006500,승차,0,1,5,7,6,10,13,15,14,17,21,24,23,24,13,15,14,13,4
2025-04-30,만경관앞,7001006500,하차,1,1,1,6,3,4,4,5,4,4,4,5,3,4,2,2,1,1,0
2025-04-30,CGV대구한일건너,7001006600,승차,6,12,25,34,29,44,66,86,108,120,160,199,200,228,175,176,188,151,30
2025-04-30,CGV대구한일건너,7001006600,하차,3,6,11,25,26,27,35,40,43,40,45,50,50,59,26,19,16,12,2
2025-04-30,CGV대구한일앞,7001006700,승차,1,2,5,9,8,12,19,32,35,47,50,64,70,75,62,60,59,58,12
2025-04-30,CGV대구한일앞,7001006700,하차,1,2,3,10,5,5,6,10,9,9,10,10,9,11,6,4,3,2,0
