년월,정류소명,승차,하차
2022-01-01,고산농협창고건너,895,275
2022-01-01,고산농협창고앞,334,3279
2022-01-01,고산도서관,13517,4887
2022-01-01,고산역화성파크드림건너,11219,3010
2022-01-01,고산역화성파크드림앞,9734,3476
2022-01-01,고산정수사업소건너,1913,696
2022-01-01,고성아파트(서편),4124,3339
2022-01-01,고성아파트건너,907,25
2022-01-01,고성아파트건너(서편),1397,2147
2022-01-01,고성아파트앞,51,185
2022-01-01,고성지구대1,523,721
2022-01-01,고성지구대2,1656,1605
2022-01-01,골안골,7,48
2022-01-01,골안골지하보도앞,5,651
2022-01-01,공고네거리1,17638,10707
2022-01-01,공고네거리2,7236,2930
2022-01-01,공군기지관사입구,5,30
2022-01-01,공단앞,0,1
2022-01-01,공단역1,9998,6124
2022-01-01,공단역2,14670,5688
2022-01-01,공단하수처리장건너,41,842
2022-01-01,공단하수처리장앞,120,49
2022-01-01,공산댐건너,942,87
2022-01-01,공산댐앞,12,74
2022-01-01,공산동행정복지센터건너,612,803
2022-01-01,공산동행정복지센터앞,3774,160
2022-01-01,공산초등학교건너,159,132
2022-01-01,공산초등학교앞,1606,65
2022-01-01,공산파출소,21,133
2022-01-01,공작한양아파트건너,3,108
2022-01-01,공작한양아파트앞,271,8
2022-01-01,공항시장건너,7567,786
2022-01-01,공항시장앞,2271,2334
2022-01-01,과학마을청아람앞,5499,145
2022-01-01,곽병원건너,29803,20157
2022-01-01,곽병원앞1,15599,7080
2022-01-01,곽병원앞2,7901,2812
2022-01-01,관리공단,238,156
2022-01-01,관문동행정복지센터 금호분소 건너,49,44
2022-01-01,관문동행정복지센터 금호분소앞,202,493
2022-01-01,관음공영주차장앞,1034,140
2022-01-01,관음농협앞,1141,174
2022-01-01,관음동행정복지센터건너,631,143
2022-01-01,관음동행정복지센터앞,1066,149
2022-01-01,관음변전소1,3754,169
2022-01-01,관음변전소2,82,732
2022-01-01,관음변전소3,589,1
2022-01-01,관음변전소4,28,10
2022-01-01,관음어린이집,1005,187
2022-01-01,관음중학교(북편),834,192
2022-01-01,광명프레지던트아파트건너,7770,4028
2022-01-01,광장타운건너,7915,2387
2022-01-01,광장타운앞,8109,2757
2022-01-01,교대부설초등학교건너,3245,562
2022-01-01,교대부설초등학교앞,117,872
2022-01-01,교동시장앞,2804,1165
2022-01-01,교동초등학교건너,524,164
2022-01-01,교동초등학교앞,1343,209
2022-01-01,교통연수원,4934,511
2022-01-01,교통연수원건너,2170,457
2022-01-01,교항2리마을입구,1,152
2022-01-01,교항2리회관,160,17
2022-01-01,교항2리회관건너,6,72
2022-01-01,교항리건너,8264,284
2022-01-01,교항리마을입구건너,2,0
2022-01-01,교항리앞,1327,2441
2022-01-01,구)대영학원건너,11038,3428
2022-01-01,구)대영학원앞,14553,7119
2022-01-01,구.남부정류장건너2,5225,3833
2022-01-01,구.남부정류장앞1,13610,3588
2022-01-01,구.남부정류장앞2,1978,1172
2022-01-01,구.동부정류장(메트로팔레스),7292,3795
2022-01-01,구덕네거리(상행),1,3
2022-01-01,구덕네거리(하행),7,0
2022-01-01,구덕리(마을회관앞),4,12
2022-01-01,구덕리동명저수지건너,1,6
2022-01-01,구덕리동명저수지앞,0,3
2022-01-01,구둔산,399,16
2022-01-01,구라1리1,0,1
2022-01-01,구라1리2,0,1
2022-01-01,구라3리1,1,2
2022-01-01,구라3리2,15,0
2022-01-01,구라리,0,6
2022-01-01,구라리2,0,1
2022-01-01,구룡촌건너,0,1
2022-01-01,구룡촌앞,21,0
2022-01-01,구병원건너,7792,4725
2022-01-01,구병원앞,12560,5462
2022-01-01,구삼폭포건너,1,50
2022-01-01,구삼폭포앞,31,0
2022-01-01,구암가구골목1,922,945
2022-01-01,구암가구골목2,554,228
2022-01-01,구암교1,2015,1022
2022-01-01,구암교2,1870,919
2022-01-01,구암동1,566,43
2022-01-01,구암동2,58,348
2022-01-01,구암역(운전면허시험장)1,2584,583
2022-01-01,구암역(운전면허시험장)2,1262,375
2022-01-01,구암초등학교건너,503,271
2022-01-01,구암초등학교앞,1535,173
2022-01-01,구지119안전센터건너,1202,289
2022-01-01,구지면행정복지센터건너,1039,510
2022-01-01,구지면행정복지센터앞,1167,919
2022-01-01,구지중학교건너,95,247
2022-01-01,구지중학교앞,1574,3
2022-01-01,구지축구장앞,480,21
2022-01-01,국가물산업클러스터건너,94,399
2022-01-01,국가물산업클러스터앞,410,67
2022-01-01,국가산단반도유보라1차,147,702
2022-01-01,국가산단반도유보라2차,4444,71
2022-01-01,국가산단반도유보라3차건너,4126,29
2022-01-01,국가산단반도유보라3차앞,385,388
2022-01-01,국가산단서한이다음,4929,34
2022-01-01,국가산단서한이다음건너,89,931
2022-01-01,국립대구과학관건너,1,107
2022-01-01,국립대구과학관앞,119,18
2022-01-01,국립대구과학관정문건너,476,140
2022-01-01,국립대구과학관정문앞,77,219
2022-01-01,국립대구박물관건너,6560,1222
2022-01-01,국립대구박물관앞,5128,3032
2022-01-01,국립식량과학원대구시험지,5,32
2022-01-01,국립신암선열공원건너,1002,5270
2022-01-01,국립신암선열공원앞,689,987
2022-01-01,국민건강보험공단(경산역),7857,1677
2022-01-01,국민건강보험공단건너,14035,2063
2022-01-01,국민건강보험공단달성고령지사건너,343,57
2022-01-01,국민건강보험공단달성고령지사앞,31,254
2022-01-01,국민건강보험공단앞,8184,6023
2022-01-01,국민연금네거리,6364,2018
2022-01-01,국민연금네거리1,3306,2762
2022-01-01,국민연금네거리2,637,203
2022-01-01,국민은행3공단지점건너,3368,811
2022-01-01,국민은행3공단지점앞,2407,800
2022-01-01,국우동현대아파트건너,690,369
2022-01-01,국우동현대아파트건너2,7,398
2022-01-01,국우동현대아파트앞,7300,1583
2022-01-01,국우초등학교건너,100,132
2022-01-01,국우초등학교앞,1914,387
2022-01-01,국채보상운동기념공원,5029,5348
2022-01-01,굿모닝병원건너,6716,4492
2022-01-01,굿모닝병원앞,6794,3310
2022-01-01,귀남지휴게소1,36,2
2022-01-01,귀남지휴게소2,2,19
2022-01-01,그랜드호텔건너,22164,9301
2022-01-01,그랜드호텔앞,27864,6182
2022-01-01,그린빌4단지,484,1176
2022-01-01,그린빌4단지건너,930,125
2022-01-01,그린빌4단지앞,474,446
2022-01-01,근로복지공단대구병원건너,244,1904
2022-01-01,근로복지공단대구병원앞,9607,69
2022-01-01,금강동,83,15
2022-01-01,금강역1,10,1
2022-01-01,금계초등학교(교항리),236,77
2022-01-01,금계초등학교(교항리)건너,1736,14
2022-01-01,금구동(대구방향),160,18
2022-01-01,금구동(종점),966,99
2022-01-01,금구동(진량방향),105,61
2022-01-01,금락초교,5312,1745
2022-01-01,금락초교 건너,1669,1019
2022-01-01,금류아파트2차(고령방향),33,180
2022-01-01,금류아파트2차(대구방향),4769,9
2022-01-01,금복주건너,2307,735
2022-01-01,금복주앞,1831,789
2022-01-01,금봉네거리1,6357,929
2022-01-01,금봉네거리2,3022,724
2022-01-01,금사리하이빌APT건너,951,153
2022-01-01,금사리하이빌APT앞,260,186
2022-01-01,금암4리,0,22
2022-01-01,금암4리(대구시립묘지),1,8
2022-01-01,금포1교1,272,22
2022-01-01,금포1교2,5,16
2022-01-01,금포1교3,1,182
2022-01-01,금포교,198,133
2022-01-01,금포교2,87,143
2022-01-01,금포새터길1,382,15
2022-01-01,금포새터길2,0,92
2022-01-01,금포초등학교,2405,453
2022-01-01,금포초등학교건너,801,319
2022-01-01,금호119안전센터건너,278,6
2022-01-01,금호119안전센터앞,11,162
2022-01-01,금호기전,192,40
2022-01-01,금호서한이다음아파트건너,1690,174
2022-01-01,금호서한이다음아파트앞,4275,456
2022-01-01,금호시장건너,5,244
2022-01-01,금호시장앞,1578,21
2022-01-01,금호역,318,3
2022-01-01,금호읍사무소,464,5
2022-01-01,금호읍사무소 건너,0,74
2022-01-01,금호지구종점(시내방향),163,1
2022-01-01,금호지구종점(종점방향),427,5
2022-01-01,금호천년나무1단지동편,5043,78
2022-01-01,금호천년나무1단지동편건너,53,2165
2022-01-01,금호천년나무8단지앞,24,175
2022-01-01,금호초등학교,95,3
2022-01-01,금호초등학교 건너,434,91
2022-01-01,금호화물자동차공영차고지,274,44
2022-01-01,금화리건너,87,3
2022-01-01,기곡(종점),195,13
